SDACORN,NGN,340000000,NGSDACORN001,0.5,EQUITY,SDACORN,250322462,Oil & Gas ,,"Elephant House | 5th Floor,
214, Broad Street, Marina
Lagos.",info@acornpetroleum.com,CSL REGISTRARS LIMITED,"MR KOLAPO LAWSON<br>
MR DOYN ADEYINKA <br>
PROF .OCHAA C.ONAZI,OON <br>
MR JMES MINER<br>
MRS ADEBOLA ADEFOPE<br>
MR. ABIOLA KALESANWO<br>
MR RAVINDRNATH MAGAPU <br>",www.acornpetroleum.com
SDAFRILAND,NGN,3434750000,NGSDAFRLAND2,0.5,EQUITY,SDAFRILAND,711436953,Real Estate,23416310480,"Afriland Towers
97/105, Broad Street
Lagos Island",info@afrilandproperties.com,AFRICA PRUDENTIAL REGISTRARS PLC,"Erelu Angela Adebayo<br>
Uzoamaka Oshogwe( Managing Director/CEO)<br>
Sam Nwanze<br>
Yinka Ogunsulire<br>
Emmanuel Nnorom<br>",
SDAGMBANK,NGN,4442880001,NGSDAGMBANK7,0.5,EQUITY,SDAGMBANK,4693091666,Financials,01-2704634,"96 Opebi road,Ikeja Lagos State
97/105, Broad Street
Lagos Island",info@agmortgagebank.com,AFRICA PRUDENTIAL REGISTRARS PLC,"Rev. Vincent Alaje(Acting Chairman )<br>
Ngozi Onyemuwa Anyogu( Managing Director/CEO)<br>
Rev Chidi Okoroafor(Director)<br>
Patrick Chinweike Abuka<br>
Rev.Pastor Ejikeme Ejim<br>
Barrister Danjuma Suleiman<br>",
SDARMLIFE,NGN,3857115000,NGSDARMLIFE5,0.5,EQUITY,SDARMLIFE,824050000,Financials,01-2704634,"22, Funsho Williams Avenue, Alaka,
Surulere, Lagos.",info@armlife.com.ng,AFRICAN PRUDENTIAL REGISTRARS PLC,,https://www.armlife.com.ng/
SDAIRLIQ,NGN,1080000000,NGSDAIRLIQ00,0.5,EQUITY,SDAIRLIQ,17307377,oil Gas,2.34E+11,"104/106 Lapido Street
Matori PMB 21551
Ikeja Lagos?",info@airliquide.com,MARINA NOMINEES LIMITED,"MARINA NOMINEES LIMITED( Chairman)<br>
jean-paul Agon(Independent  Director)<br>
pierre Dufour(Director)<br>
Thierry Peugeot (Director)<br>
karen katen(Independent  Director)<br>
Sian Herbert Jones(Independent  Director)<br>",
SDCAPDBETO,NGN,6693750000,NGSDCAPBETO0,0.5,EQUITY,SDCAPDBETO,17307377,construction,: 00234 1 2120481- 2120483 ,"72 Campbell Street,Lagos, Nigeria.?",info@capdal.com,AFRICAN PRUDENTIAL REGISTRARS PLC,"Comm.. G.G. Gianotti?( President)<br>
F. Gianotti(Charman)<br>
G. Mello Grand(Managing Director)<br>
Thierry Peugeot (Director)<br>
Cav. E. Calvino (Exceutive)<br>
G.P. Salgarella(Exceutive)<br>
",
SDCSCSPLC,NGN,65700000000,NGSDCSCSPLC2,0.5,EQUITY,SDCSCSPLC,1812848993,Financaial Service,234 1 903 3551,"1st Floor ,Stock Exchange House
2/4 Customs Street, Lagos?",info@cscsnigeriaplc.com,AFRICAN PRUDENTIAL REGISTRARS PLC,"Mr. Oscar N.Onyema ,OON(Chairman)<br>
Mr. Haruna Jalo-Waziri(Managing Director/CEO)<br>
Mr. Bayo Olugbem(Non -executive Director)<br>
Mr. SolaAdeeyo(Non -executive Director)<br>
Mrs. Ifueko M. Omoigui Okauru ,MFR, MON(N",
SDCOSTAIN,NGN,540000000,NGSDCOSTAIN0,0.5,EQUITY,SDCOSTAIN,18861,Construction,01628 842444,174 FUNSON WILLLAMS EBUTE METTA LAGOS,info@costain.com,FIRST REGISTRARS NIGERIA LIMITED,"Andrew Wyllie(Chairman)<br>
Dr Paul Golby(Non-Executive Chairman)<br>
Anthony Bickerstaff(Chief Financial Officer)<br>
Jane Lodge(Senior Independent Director)<br>
Alison Wood(Independent Non-Executive Director)<br>
David McManus (Independen)<br>",
SDCRSBUR,NGN,87399350.2,NGSDCRSBUR01,0.5,EQUITY,SDCRSBUR,27825322,Financial Services,234(1)4548700,"plot 319, Akin ogunlewe street off ligali Ayorinde Street victoria Island, Lagos ",info@crservicesplc.com,FIRST REGISTRARS NIGERIA LIMITED,,
SDBUREAUA,NGN,102000000,NGSDBUREAUA5,0.5,EQUITY,SDBUREAUA,,Financial Services,234(1)4548700,"plot 319, Akin ogunlewe street off ligali Ayorinde Street victoria Island, Lagos ",info@crservicesplc.com,FIRST REGISTRARS NIGERIA LIMITED,,
